id,Algorithm Name,Best Case Running time,Average Case Running Time,Worst Case Running Time,Worst Case Space Complexity
1,Insertion Sort,O(n),O(n^2),O(n^2),O(1)
2,Bubble Sort,O(n),O(n^2),O(n^2),O(1)
3,Merge Sort,O(n log(n)),O(n log(n)),O(n log(n)),O(n)
4,Quick Sort,O(n log(n)),O(n log(n)),O(n^2),O(log(n))
5,Heap Sort,O(n log(n)),O(n log(n)),O(n log(n)),O(1)
6,Selection Sort,O(n^2),O(n^2),O(n^2),O(1)
7,Tim Sort,O(n),O(n log(n)),O(n log(n)),O(n)
8,Gnome Sort,O(n),O(n^2),O(n^2),O(1)
9,Cocktail Sort,O(n),O(n^2),O(n^2),O(1)
10,Strand Sort,O(n),O(n^2),O(n^2),O(n)
